_id;amparo_legal;codigo_infracao;descricao_infracao;escopo_autuacao;mes;;quantidade_autos;uf;m�s;ano
604f7a61a60b104ea49b9ff6;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""K"" DA RESOLUÇÃO ANTT Nº 233/2003";111;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""K""DA RES.ANTT Nº 233/2003 - TRAFEGAR COM VEÍCULO EM SERVIÇO, APRESENTANDO DEFEITO EM EQUIPAMENTO OU ITEM OBRIGATÓRIO.";Transporte Rodoviário Interestadual de Passageiros;MARÇO;;1;RS;3;2019
604f7a61a60b104ea49b9ff7;ARTIGO 5º, ALÍNEA A, INCISO 2 DO DECRETO 5462/2005;5102;ARTIGO 5º - ALÍNEA A - INCISO 2 - NÃO ENTREGAR COMPROVANTE PELO TRANSPORTE DE BAGAGENS;Transporte Rodoviário Internacional de Passageiros;MARÇO;;1;RS;3;2019
604f7a61a60b104ea49b9ff8;ARTIGO 5º, ALÍNEA A, INCISO 3 DO DECRETO 5462/2005;5103;ARTIGO 5º - ALÍNEA A - INCISO 3 - NÃO PORTAR OS DOCUMENTOS DE TRANSPORTE DE PORTE OBRIGATÓRIO;Transporte Rodoviário Internacional de Passageiros;MARÇO;;3;RS;3;2019
604f7a61a60b104ea49b9ff9;ARTIGO 5º, ALÍNEA A, INCISO 4 DO DECRETO 5462/2005;5104;ARTIGO 5º - ALÍNEA A - INCISO 4 - NÃO CONTAR COM SISTEMA DE ATENDIMENTO DE RECLAMAÇÕES NOS LOCAIS DE VENDA DE PASSAGENS OU NOS TERMINAIS;Transporte Rodoviário Internacional de Passageiros;MARÇO;;2;RS;3;2019
604f7a61a60b104ea49b9ffa;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO IV, ALÍNEA ""A"" DA RESOLUÇÃO ANTT Nº 233/2003 ";401;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO IV, ALÍNEA ""A"" DA RES.ANTT Nº 233/2003 - EXECUTAR SERVIÇOS DE TRANSPORTE RODOVIÁRIO INTERESTADUAL OU INTERNACIONAL DE PASSAGEIROS SEM PRÉVIA AUTORIZAÇÃO OU PERMISSÃO.";Transporte Rodoviário Interestadual de Passageiros;ABRIL;;1;MG;4;2019
604f7a61a60b104ea49b9ffb;ARTIGO 3º, ALÍNEA A, INCISO 5 DO DECRETO 5462/2005;3105;ARTIGO 3º - ALÍNEA A - INCISO 5 - REALIZAR UM SERVIÇO DIFERENTE DO AUTORIZADO;Transporte Rodoviário Internacional de Passageiros;ABRIL;;2;MS;4;2019
604f7a61a60b104ea49b9ffc;ARTIGO 4º, ALÍNEA A, INCISO 3 DO DECRETO 5462/2005;4103;ARTIGO 4º - ALÍNEA A - INCISO 3 - NÃO CUMPRIR OS HORÁRIOS DE INÍCIO DO SERVIÇO E/OU ALTERÁ-LOS SEM CAUSA JUSTIFICADA;Transporte Rodoviário Internacional de Passageiros;ABRIL;;3;MS;4;2019
604f7a61a60b104ea49b9ffd;ARTIGO 5º, ALÍNEA A, INCISO 4 DO DECRETO 5462/2005;5104;ARTIGO 5º - ALÍNEA A - INCISO 4 - NÃO CONTAR COM SISTEMA DE ATENDIMENTO DE RECLAMAÇÕES NOS LOCAIS DE VENDA DE PASSAGENS OU NOS TERMINAIS;Transporte Rodoviário Internacional de Passageiros;ABRIL;;2;MS;4;2019
604f7a61a60b104ea49b9ffe;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""E"" DA RESOLUÇÃO ANTT Nº 233/2003 ";105;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""E"" DA RES.ANTT Nº 233/2003 - NÃO OBSERVAR O PRAZO MÍNIMO ESTABELECIDO PARA INÍCIO DA VENDA DE BILHETE DE PASSAGEM.";Transporte Rodoviário Interestadual de Passageiros;ABRIL;;1;RJ;4;2019
604f7a61a60b104ea49b9fff;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO III, ALÍNEA ""H"" DA RESOLUÇÃO ANTT Nº 233/2003 ";308;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO III, ALÍNEA ""H"" DA RES.ANTT Nº 233/2003 - SUPRIMIR VIAGEM A QUE ESTEJA OBRIGADO, SEM PRÉVIA COMUNICAÇÃO A ANTT.";Transporte Rodoviário Interestadual de Passageiros;ABRIL;;1;RJ;4;2019
604f7a61a60b104ea49ba000;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO III, ALÍNEA ""M"" DA RESOLUÇÃO ANTT Nº 233/2003";313;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO III, ALÍNEA ""M"" DA RES.ANTT Nº 233/2003 - ALT. PELA RES. ANTT Nº 5063/16 - NÃO DISPONIBILIZAR OS ASSENTOS PREVISTOS PARA TRANSPORTE GRATUITO E COM DESCONTO NO VALOR DE PASSAGEM, NA QUANTIDADE E PRAZO ESTABELECIDOS NA LEGISLAÇÃO ESPECÍFICA.";Transporte Rodoviário Interestadual de Passageiros;ABRIL;;1;RJ;4;2019
604f7a61a60b104ea49ba001;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO III, ALÍNEA ""N"" DA RESOLUÇÃO ANTT Nº 233/2003 ";314;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO III, ALÍNEA ""N"" DA RES.ANTT Nº 233/2003 - ALT. PELA RES.ANTT Nº 5063/16 - NÃO CONCEDER O DESCONTO MÍNIMO DE CINQUENTA POR CENTO DO VALOR DA PASSAGEM PREVISTO EM LEGISLAÇÃO ESPECÍFICA.";Transporte Rodoviário Interestadual de Passageiros;ABRIL;;1;RJ;4;2019
604f7a61a60b104ea49ba002;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO II, ALÍNEA ""B"" DA RESOLUÇÃO ANTT Nº 233/2003";202;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO II, ALÍNEA ""B"" DA RES.ANTT Nº 233/2003 - RETARDAR, INJUSTIFICADAMENTE, A PRESTAÇÃO DE TRANSPORTE PARA OS PASSAGEIROS.";Transporte Rodoviário Interestadual de Passageiros;ABRIL;;1;RS;4;2019
604f7a61a60b104ea49ba003;ARTIGO 5º, ALÍNEA A, INCISO 3 DO DECRETO 5462/2005;5103;ARTIGO 5º - ALÍNEA A - INCISO 3 - NÃO PORTAR OS DOCUMENTOS DE TRANSPORTE DE PORTE OBRIGATÓRIO;Transporte Rodoviário Internacional de Passageiros;ABRIL;;1;RS;4;2019
604f7a61a60b104ea49ba004;ARTIGO 5º, ALÍNEA A, INCISO 4 DO DECRETO 5462/2005;5104;ARTIGO 5º - ALÍNEA A - INCISO 4 - NÃO CONTAR COM SISTEMA DE ATENDIMENTO DE RECLAMAÇÕES NOS LOCAIS DE VENDA DE PASSAGENS OU NOS TERMINAIS;Transporte Rodoviário Internacional de Passageiros;ABRIL;;1;RS;4;2019
