_id;amparo_legal;codigo_infracao;descricao_infracao;escopo_autuacao;mes;quantidade_autos;uf;m�s;ano
604f7a48a60b104ea49b974a;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO II, ALÍNEA ""P"" DA RESOLUÇÃO ANTT Nº 233/2003 ";216;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO II, ALÍNEA ""P"" DA RES.ANTT Nº 233/2003 - ALT PELA RES. ANTT Nº 5063/16 - NÃO OBSERVAR O PRAZO ESTABELECIDO EM RESOLUÇÃO DA ANTT PARA ARQUIVAMENTO DOS BILHETES DE PASSAGEM E OS BILHETES DE EMBARQUE.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;AM;1;2018
604f7a48a60b104ea49b974b;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO III, ALÍNEA ""S"" DA RESOLUÇÃO ANTT Nº 233/2003 ";319;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO III, ALÍNEA ""S"" DA RES.ANTT Nº 233/2003 - INCLUÍDO PELA RESOLUÇÃO ANTT Nº 4130/2013 - NÃO OBSERVAR AS NORMAS E PROCEDIMENTOS DE INSCRIÇÃO INDICATIVA DA CATEGORIA E DE CADASTRAMENTO DOS ÔNIBUS.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;6;AM;1;2018
604f7a48a60b104ea49b974c;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO II, ALÍNEA ""C"" DA RESOLUÇÃO ANTT Nº 233/2003";203;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO II, ALÍNEA ""C"" DA RES.ANTT Nº 233/2003 - NÃO OBSERVAR OS PROCEDIMENTOS RELATIVOS AO PESSOAL DA TRANSPORTADORA.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;2;AM;1;2018
604f7a48a60b104ea49b974d;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO II, ALÍNEA ""E"" DA RESOLUÇÃO ANTT Nº 233/2003";205;"ART.78-F, §1º-LEI 10.233/01 C/C ART.1º, INCISO II, ALÍNEA ""E""DA RES.ANTT Nº233/03 - EMPREENDER VIAGEM COM VEÍCULO EM CONDIÇÕES INADEQUADAS DE HIGIENE E/OU DEIXAR DE HIGIENIZAR AS INSTALAÇÕES SANITÁRIAS, QUANDO DO INÍCIO DA VIAGEM E NAS SAÍDAS DE PONTOS DE PARADA OU DE APOIO.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;AM;1;2018
604f7a48a60b104ea49b974e;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""F"" DA RESOLUÇÃO ANTT Nº 233/2003 ";106;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""F"" DA RES.ANTT Nº 233/2003 - NÃO DEVOLVER A IMPORTÂNCIA PAGA PELO USUÁRIO OU NÃO REVALIDAR O BILHETE DE PASSAGEM PARA OUTRO DIA E HORÁRIO.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;AM;1;2018
604f7a48a60b104ea49b974f;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO II, ALÍNEA ""Q"" DA RESOLUÇÃO ANTT Nº 233/2003";217;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO II, ALÍNEA ""Q"" DA RES.ANTT Nº 233/2003 - ACRESC. PELA RES.ANTT Nº 643/2004 - NÃO OBSERVAR OS CRITÉRIOS PARA INFORMAÇÃO AOS USUÁRIOS DOS PROCEDIMENTOS DE SEGURANÇA.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;BA;1;2018
604f7a48a60b104ea49b9750;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO III, ALÍNEA ""M"" DA RESOLUÇÃO ANTT Nº 233/2003";313;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO III, ALÍNEA ""M"" DA RES.ANTT Nº 233/2003 - ALT. PELA RES. ANTT Nº 5063/16 - NÃO DISPONIBILIZAR OS ASSENTOS PREVISTOS PARA TRANSPORTE GRATUITO E COM DESCONTO NO VALOR DE PASSAGEM, NA QUANTIDADE E PRAZO ESTABELECIDOS NA LEGISLAÇÃO ESPECÍFICA.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;BA;1;2018
604f7a48a60b104ea49b9751;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""B"" DA RESOLUÇÃO ANTT Nº 233/2003";102;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""B"" DA RES.ANTT Nº 233/2003 - EMITIR BILHETE SEM OBSERVÂNCIA DAS ESPECIFICAÇÕES.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;BA;1;2018
604f7a48a60b104ea49b9752;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""E"" DA RESOLUÇÃO ANTT Nº 233/2003 ";105;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""E"" DA RES.ANTT Nº 233/2003 - NÃO OBSERVAR O PRAZO MÍNIMO ESTABELECIDO PARA INÍCIO DA VENDA DE BILHETE DE PASSAGEM.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;5;BA;1;2018
604f7a48a60b104ea49b9753;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""F"" DA RESOLUÇÃO ANTT Nº 233/2003 ";106;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""F"" DA RES.ANTT Nº 233/2003 - NÃO DEVOLVER A IMPORTÂNCIA PAGA PELO USUÁRIO OU NÃO REVALIDAR O BILHETE DE PASSAGEM PARA OUTRO DIA E HORÁRIO.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;BA;1;2018
